Algorithm,Method,Count,Mean,Median,Std,Min,Max,Q25,Q75
Median,Random,10000,27696.653968000002,30893.41,14329.724665400536,1.72,49261.13,16778.425,40029.72
Median,FASTA,10000,27688.566096500002,31016.66,14457.083879456144,2.65,48740.47,16384.5375,40057.9
Median,LLM,10000,20593.1909245,22209.93,13934.217620850988,5.26,48768.96,5689.97,32038.057500000003
Best,Random,10000,4540.191816563057,5590.705,1882.7432299382017,0.54,5976.87,4185.39,5608.4125
Best,FASTA,10000,4538.23794853486,5590.675,1877.8917111673284,2.02,6037.89,4106.84,5608.28
Best,LLM,10000,4057.1506298532336,5586.59,2125.9470204691775,3.08,5843.23,1937.45,5607.262500000001
MHCflurryEL Processing,Random,10000,0.12408530778819504,0.02762195139075625,0.1983330259385328,8.811233055894263e-05,0.9723983705043792,0.004577611027343624,0.14971496284124441
MHCflurryEL Processing,FASTA,10000,0.1254944551411415,0.0293319825577782,0.19966070844182013,8.198110072044074e-05,0.9806253239512444,0.00502341766696185,0.1511166573036462
MHCflurryEL Processing,LLM,10000,0.12575353564611869,0.04539841104997315,0.17916547793010684,0.0001031348683682,0.9604220613837242,0.00862984282321115,0.16940136303310274
MHCflurryEL Presentation,Random,10000,0.03731148237714085,0.0054858977365304,0.12135555774712788,0.0030458130809956,0.991278943509824,0.0039373893520309,0.0140683497656197
MHCflurryEL Presentation,FASTA,10000,0.039185778474543624,0.00550432236281835,0.1266954071548341,0.0030218440894274,0.9936427642138216,0.003932186040820025,0.013786286722912674
MHCflurryEL Presentation,LLM,10000,0.06994311701153288,0.0077584553019394,0.17425424058981168,0.0030961917529924,0.987415769864778,0.00460321180236615,0.028026332121253675
MHCflurry,Random,10000,21016.217223356252,23978.76596911902,8961.042644111107,10.506670691570386,33400.622573373184,16079.720456931824,27988.04162766891
MHCflurry,FASTA,10000,21030.500206852656,24056.445414593276,8953.561902832167,10.106059332892617,33679.78970398968,16079.461082260468,27945.978000331263
MHCflurry,LLM,10000,16364.954496368066,18186.865145865442,9603.143692323938,10.94568289556405,32892.5546440058,8167.755664802516,24560.0644879734
MHCnuggetsI,Random,10000,5583.583748,5602.58,262.5866171837636,523.46,6278.64,5587.51,5618.37
MHCnuggetsI,FASTA,10000,5577.594771000001,5602.095,297.41473038319344,550.98,6050.63,5587.14,5617.7925
MHCnuggetsI,LLM,10000,5541.941103,5600.78,397.0720057968501,572.55,5968.5,5585.2474999999995,5614.69
NetMHCcons,Random,10000,26488.384577999997,30068.96,10540.82744427836,1.81,40489.28,21500.59,34423.54
NetMHCcons,FASTA,10000,26493.639713000004,30396.07,10624.57281529752,2.65,40929.75,21040.32,34610.27
NetMHCcons,LLM,10000,21081.024579,23444.56,11293.499849475435,3.76,40489.28,12117.27,30726.73
NetMHCpan,Random,10000,29470.799886,33114.925,13545.96351092447,1.72,49261.13,20648.8075,40679.189999999995
NetMHCpan,FASTA,10000,29494.261457,33165.134999999995,13617.453633815305,2.71,48740.47,20031.43,40645.6525
NetMHCpan,LLM,10000,22634.829459,24104.07,13433.636279985727,3.87,48768.96,11177.59,33960.1925
NetMHCpanEL,Random,10000,0.010032053899999999,8.1e-05,0.06424447831040477,0.0,0.987,1.2e-05,0.000645
NetMHCpanEL,FASTA,10000,0.010607495900000001,8.3e-05,0.06445131021416364,0.0,0.966,1.2e-05,0.000644
NetMHCpanEL,LLM,10000,0.0157049905,0.000236,0.07342716576984054,0.0,0.963,3.7e-05,0.00143
PickPocket,Random,10000,26371.208916999996,23192.26,21017.42065583417,0.72,50000.0,4242.33,50000.0
PickPocket,FASTA,10000,26418.380143000002,23444.56,21040.87350943236,2.38,50000.0,4230.9175,50000.0
PickPocket,LLM,10000,18536.221833,9245.51,19342.082205049814,3.08,50000.0,2032.71,37739.56
SMM,Random,10000,2770815.923452,142105.305,18743613.273033362,0.59,1259244318.3,18625.59,972993.64
SMM,FASTA,10000,3425168.7150299996,149489.365,49030119.11740383,2.03,4386417848.1,17859.125,1017091.95
SMM,LLM,10000,1259306.0608,33659.68,43607139.807678,3.75,4326233938.99,5518.995,216950.28
SMMPMBEC,Random,10000,2637433.0472790003,143360.66,16801556.5723274,0.54,1085000654.1,18553.68,964783.79
SMMPMBEC,FASTA,10000,3231844.4503430002,148740.76,39290885.62170343,2.02,3454856393.84,17586.5325,998688.39
SMMPMBEC,LLM,10000,1098208.454736,34668.119999999995,30822147.735609367,3.83,3036896562.6,5628.98,221146.575
